S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
41,SIA/MH/INFRA2/564775/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271665/2026","Environment Clearance for Proposed Residential & Commercial Construction project “Le Skylark” Expansion at Plot No C, Survey No.16, 18, 19, 51, 53 (Part), Village - Kopre Gaonthan, Hingane, Taluka – Haveli, Pune, Maharashtra by M/S. Kakade Green Estate Pvt. Ltd.",MAHARASHTRA,KAKADE GREEN ESTATE PVT. LTD.,Category: B2 Sector: INFRA-2 Date of Submission: 09/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"Proposed Residential & Commercial Construction project “Le Skylark” Expansion at Plot No C, Survey No.16, 18, 19, 51, 53 (Part), Village - Kopre Gaonthan, Hingane, Taluka – Haveli, Pune, Maharashtra by M/S. Kakade Green Estate Pvt. Ltd."
42,SIA/MH/MIN/563928/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/270941/2026,"Transfer of Environmental Clearance of Pendapur Sandghat from DMO, Aurangabad to M/s Aradhya Building Material Suppliers (PP- Sau. Shila Anil Autade)",MAHARASHTRA,SHILA ANIL AUTADE,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,EC Granted,"Application for Transfer of Environmental Clearance of Pendapur Sandghat, Gut No. 78,80,86, Village – Pendapur, Tal.- Gangapur, Dist. Chh. Sambhajinagar from DMO, Aurangabad to M/s Aradhya Building Material Suppliers (PP- Sau. Shila Anil Autade)"
43,SIA/MH/MIN/565868/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272548/2026,"Transfer of EC of Sand Ghat at Kanadi Uswad-1, River Purna, Vill Kanadi Uswad Tq. Mantha Dist. Jalna Nearest Gut no Kanadi -47,41,40,39,37,36,25,23 Uswad- 319 to 323, Area-2.40 Ha, Qty-8481 Brass, in the name of M/s Mauli Construction ,Prop. Mr. Kailash Devidas Borade",MAHARASHTRA,KAILASH DEVIDAS BORADE,Category: B2 Sector: Non-Coal Mining Date of Submission: 20/01/2026,SEIAA,EC Granted,"Transfer of EC of Sand Ghat at Kanadi Uswad-1, River Purna, Vill Kanadi Uswad Tq. Mantha Dist. Jalna Nearest Gut no Kanadi -47,41,40,39,37,36,25,23 Uswad- 319 to 323, Area-2.40 Ha, Qty-8481 Brass, in the name of M/s Mauli Construction ,Prop. Mr. Kailash Devidas Borade"
44,SIA/MH/INFRA2/562851/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269991/2025","Proposed Development of Industrial Shed/ Logistics / Warehouse building project by ILP 3 INDIA 20 Pvt Ltd. located at survey no. 104/1/A (Pt), 104/1/B (Pt), 104/1/C (Pt), 105/1/A, 105/1/B (Pt), 105/2 (Pt), 105/3 (Pt), 106 (Pt), 107/1/A, 107/1/B, 107/2, 107/3, 107/4, 107/5, 108/1, 108/2 (Pt) & 112/4 (Pt) of Village Dohole, Taluka Bhiwandi, District Thane, Maharashtra.",MAHARASHTRA,ilp 3 iNDIA 20 PRIVATE LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 23/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"The proposed project involves the development of a well-planned and sustainable industrial shed / logistics and warehouse facility by M/s ILP 3 INDIA 20 Pvt. Ltd. located at Village Dohole, Taluka Bhiwandi, District Thane, Maharashtra. The project site lies in the Bhiwandi region, an established logistics and warehousing hub in the Mumbai Metropolitan Region, with excellent connectivity to the Mumbai–Nashik Highway (AH-47) and proximity to major consumption and industrial centres in Maharashtra."
45,SIA/MH/INFRA2/566453/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273087/2026","Prior Environment Clearance for Proposed Commercial Building ‘ACE SQUARE’ located on plot bearing C. T. S. No. 255 A (pt) & CTS No 256 A (pt) of village Deonar, Govandi, Mumbai by M/s. R E Infra Pvt Ltd.",MAHARASHTRA,R E INFRA PRIVATE LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 22/01/2026,SEIAA,Referred to SEAC,The Proposed Commercial Building ‘ACE SQUARE’ having 77 Hotel Rooms + 2 Banquet/Conference Hall + 5 Departmental Store + 8 Restaurant + 17 office.
46,SIA/MH/MIN/564212/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271206/2026,"Transfer of Environmental Clearance of Nagthana Sand Ghat, Parbhani from Vandana Maske to Abrar Niyaz Khan Pathan",MAHARASHTRA,Abrar niyaz khan pathan,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/01/2026,SEIAA,EC Granted,"Application for Transfer of EC for Nagthana Sand Ghat located at Gut No. 110, 113, 115, 118, 123, 133, 134, 153, 155, Village - Nagthana, Taluka - Gangakhed, District - Parbhani from Vandana Maske to Abrar Niyaz Khan Pathan"
47,SIA/MH/MIN/567247/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273810/2026,"Environmental Clearance for the Jihe Sand Spot 4 on Krushna river located at gut no. 791,793,794, 797 & 799 of Village - Jihe Taluka- Satara, and District: Satara",MAHARASHTRA,minakshi ajit bhor,Category: B2 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,Referred to SEIAA,"Environmental Clearance for the Jihe Sand Spot 4 on Krushna river located at gut no. 791,793,794, 797 & 799 of Village - Jihe Taluka- Satara, and District: Satara"
48,SIA/MH/MIN/561787/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/269012/2025,"Environmental Clearance for the Basalt Stone Quarry of Shri. Santosh Chintamani Chaugule located at gut no. 217 part, Village Bhoyara, Taluka Latur, District Latur",MAHARASHTRA,santosh chintamani chaugule,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Verification,"Environmental Clearance for the Basalt Stone Quarry of Shri. Santosh Chintamani Chaugule located at gut no. 217 part, Village Bhoyara, Taluka Latur, District Latur"
49,SIA/MH/MIN/565992/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/272682/2026,"Environmental Clearance for Stone Quarry Project (Area 2.00 Ha) (Private Land) at Survey No. 25/1 (Part) Village- Koregaonwadi, Taluka- Umerga, District- Dharashiv, Maharashtra by M/s. Balaji Construction",MAHARASHTRA,BALAJI CONSTRUCTION,Category: B2 Sector: Non-Coal Mining Date of Submission: 18/01/2026,SEIAA,Pending at MS SEIAA,Environmental Clearance for Stone Quarry Project (Area 2.00 Ha)
50,SIA/MH/MIN/564735/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271638/2026,"EC Transfer of Nanegaon Sand Ghat, Area 1.00 ha, Gut. No 17 to 21, 26, 28 Village Nanegaon, Tehsil Badnapur, District Jalna Maharashtra by Shri. Vilas Ramdas Talekar (M/s. Jai Mata Di Trading Co)",MAHARASHTRA,VILAS RAMDAS TALEKAR,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,"EC Transfer of Nanegaon Sand Ghat, Area 1.00 ha, Gut. No 17 to 21, 26, 28 Village Nanegaon, Tehsil Badnapur, District Jalna Maharashtra by Shri. Vilas Ramdas Talekar (M/s. Jai Mata Di Trading Co)"
51,SIA/MH/MIN/565305/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272109/2026,"Transfer of EC of Dahadi Sand Ghat, Kanhan River, Tq. Mauda, Dist. Nagpur, Nearest Gut No. Sur. No.107 bhag,108,120,110,111, Area-1.05 Ha, Qty-1855 Brass in the name of M/s Saicon Construction & Infra L.L.P. through Mr. Yogiraj Bhagwanrao Shinde",MAHARASHTRA,SAICON CONSTRUCTIONS & INFRA LLP,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,EC Granted,"Transfer of EC of Dahadi Sand Ghat, Kanhan River, Tq. Mauda, Dist. Nagpur, Nearest Gut No. Sur. No.107 bhag,108,120,110,111, Area-1.05 Ha, Qty-1855 Brass in the name of M/s Saicon Construction & Infra L.L.P. through Mr. Yogiraj Bhagwanrao Shinde"
52,SIA/MH/INFRA2/566491/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273121/2026","Proposed PMPML + PCMC-Office Building Layout on S. No. 368 (P), (PMPML Reservation- 5/2), of Village Talawade, Tal Haveli, Pune",MAHARASHTRA,CRYSTAL DEVELOPERS,Category: B1 Sector: INFRA-2 Date of Submission: 31/01/2026,SEIAA,Standard ToR Granted,"Proposed PMPML + PCMC-Office Building Layout on S. No. 368 (P), (PMPML Reservation- 5/2), of Village Talawade, Tal Haveli, Pune"
53,SIA/MH/MIN/564221/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271210/2026,"Transfer of Environmental Clearance of Mahatpuri Sand Ghat, Parbhani from Vandana Maske to Abrar Niyaz Khan Pathan",MAHARASHTRA,Abrar niyaz khan pathan,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/01/2026,SEIAA,EC Granted,"Application for Transfer of EC for Mahatpuri Sand Ghat located at Gut No. 4, 6, 7, 9, 10, 11, 12, 15, 16, 17, 18, Village - Mahatpuri, Taluka - Gangakhed, District - Parbhani from Vandana Maske to Abrar Niyaz Khan Pathan"
54,SIA/MH/INFRA2/564312/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271255/2026","Proposed Residential Building on Plot B at CTS. No. 4636(Pt) + 4637(Pt), S. No. 124/6(Pt) 124/ 7(Pt),124/8(Pt), Hadapsar, Pune District, Maharashtra by M/s. B G Shirke Construction Technology Pvt. Ltd",MAHARASHTRA,B. G. Shirke construction technology private limited,Category: B2 Sector: INFRA-2 Date of Submission: 06/01/2026,SEIAA,Pending at MS SEIAA,The proposed project is a residential building
55,IA/MH/THE/564470/2026,Clearance Type: Application for Amendment in EC- Form-4 S/W No.: SW/271338/2026,"Amendment in Environmental Clearance for seeking review of applicability of Sulphur dioxide standards and Exemption from Installation of FGD as per MoEF&CC Notification dated 11.07.2025 for 2×300 MW DIL Thermal Power Plant at Plot No-C6,C7,C8 Tadali Growth Centre, MIDC Tadali, Tal & Dist.-Chandrapur, Maharashtra",MAHARASHTRA,DHARIWAL INFRASTRUCTURE LIMITED,Category: A Sector: Thermal Projects Date of Submission: 05/02/2026,MOEFCC,Proposal Accepted and Referred to EAC,Dhariwal Infrastructure Limited has proposed amendment in Environmental clearance dated 04.12.2009 (modified vide letter 09.09.2010) for seeking review of applicability of Sulphur dioxide standards and Exemption from Installation of FGD as per MoEF&CC Notification dated 11.07.2025
56,SIA/MH/INFRA2/566869/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272577/2026","Application for EC & CRZ Clearance for the proposed Construction of JNPA Office Building Complex at CS. No. 1(pt) and 42/1, of Princess Dock Division Plot Nos. 159, 159A, 114 to 118, 119,120, 121A, 121B and 122, at Mallet Bunder, at Junction of N.V. Nakhwa Road and Mallet Road, Mazgaon, Mumbai by Jawaharlal Nehru Port Authority (JNPA).",MAHARASHTRA,JAWAHARLAL NEHRU PORT AUTHORITY,Category: B2 Sector: INFRA-2 Date of Submission: 27/01/2026,SEIAA,Under Verification,Construction of JNPA Office Building Complex
57,SIA/MH/MIN/566769/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273372/2026,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Vairagarh sand ghat on Khobragadi river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Vairagarh sand ghat on Khobragadi river.
58,IA/MH/CMIN/564922/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/270405/2025",Amalgamated Inder Kamptee Deep OC Mine,MAHARASHTRA,Western Coalfields Limited,Category: A Sector: Coal Mining Date of Submission: 19/01/2026,MOEFCC,Proposal Accepted and Referred to EAC,"Amalgamated Inder Kamptee Deep OC Mine is an existing mine of WCL. The mine is located in Tekadi village, Parseoni Tehsil, Nagpur district of Maharashtra State. EC was granted to this mine for production capacity 3.2 MTPA in 857.60 ha ML area vide letter no. J-11015/287/2010-IA.II(M) dtd. 08.06.2020. Present proposal is for expansion of production capacity from 3.2 MTPA to 3.84 MTPA (First 20% expansion as per MoEF&CC OM dtd. 11.04.2022 ) within same mining lease area 857.60 ha under section 7(i"
59,SIA/MH/MIN/564457/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271424/2026,"Transfer of EC of Rohana Sand Ghat , River Kanhan ,Vill Rohana, Tq. Savner Dist. Nagpur, Nearest Gut No. 7 Part,3 Part, Area-2.10 Ha, Qty-7420 Brass in the name of M/s. Can Group of Industries Through Mr. Premchand Parasram Bhonge",MAHARASHTRA,PREMCHAND PARASRAM BHONGE,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EC Granted,"Transfer of EC of Rohana Sand Ghat , River Kanhan ,Vill Rohana, Tq. Savner Dist. Nagpur, Nearest Gut No. 7 Part,3 Part, Area-2.10 Ha, Qty-7420 Brass in the name of M/s. Can Group of Industries Through Mr. Premchand Parasram Bhonge"
60,SIA/MH/MIN/565756/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272481/2026,"Transfer of Environmental Clearance Lobhi 1 Sand Ghat over an extent of 2.7 ha. At Bawanthadi River Bed Adjoining Gut No. 258, 259, 260, 261, 262, Village Lobhi, Tehsil Tumsar, District Bhandara, Maharashtra by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Lobhi 1 Sand Ghat over an extent of 2.7 ha. At Bawanthadi River Bed Adjoining Gut No. 258, 259, 260, 261, 262, Village Lobhi, Tehsil Tumsar, District Bhandara, Maharashtra by M/s. Anoj kumar Agarwala"
61,SIA/MH/MIN/563367/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270443/2025,"Environmental Clearance for Basalt Stone Quarry of Shri. Ashish Vijay Dani located at Gut no. 289 part of village- Halkarni, Tal. Chandgad, Dist. Kolhapur",MAHARASHTRA,ashish vijay dani,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Verification,"Environmental Clearance for Basalt Stone Quarry of Shri. Ashish Vijay Dani located at Gut no. 289 part of village- Halkarni, Tal. Chandgad, Dist. Kolhapur"
62,SIA/MH/IND2/565296/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272104/2026,"Name change in Environmental Clearance of sugar unit 7500 TCD, 40 MW Cogeneration and 60 KLPD Distillery at Hiradgaon, Tal; Shrigonda Dist Ahmednagar from Saikrupa Sakhar Karkhana Ltd to Shri Saikrupa Sugar & Allied Industries Ltd",MAHARASHTRA,SHRI SAIKRUPA SUGAR & ALLIED INDUSTRIES LIMITED,Category: B1 Sector: Industrial Projects - 2 Date of Submission: 12/01/2026,SEIAA,Proposal pulled back (withdrawn),"Manufacturing of Sugar, Power, Ethanol, RS and ENA"
63,SIA/MH/MIN/566909/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273510/2026,"Application of Transfer of Environmental Clearance Mokha (Chichghat- Zirnyaghat) Sand Ghat Sand Ghat Proposal of Mokha (Chichghat- Zirnyaghat) Sand Ghat, Gut no 23 and 26 Tq. Dharni Dist. Amravati, Area-1.50Hafrom District Mining Officer, Amaravati to Mr. Ankush Ramchandra Malviya",MAHARASHTRA,Ankush R Malviya,Category: B2 Sector: Non-Coal Mining Date of Submission: 27/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Mokha (Chichghat- Zirnyaghat) Sand Ghat
64,SIA/MH/MIN/566612/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273229/2026,Environmental clearance for proposed river bed sand mining having leases area 2.51 Ha. Lekha sand ghat on Boriya river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 24/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 2.51 Ha. Lekha sand ghat on Boriya river.
65,SIA/MH/MIN/565237/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272058/2026","Shri. Rohidas Bhausaheb Sanap, Shri.Dnyaneshwar Haribhau Sangle, Shri. Bhimashankar Ravaba Chakor, Shri. Subhash Laxman Sangle, Shri. Azim Kasam Mujawar & Shri. Abbas Dadamiya Mujawar",MAHARASHTRA,Mr. Rohidas Bhausaheb Sanap,Category: B2 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Under Verification,Fresh EC
66,SIA/MH/INFRA2/566629/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273234/2026","Environment clearance for Proposed Construction of New Court Building at CTS No. 3512/A2/D, Tal. Dhule, Dist. Dhule by Hon. Principal District Judge, District & Sessions Court, Dhule through Executive Engineer Shri. Ravindra Ratan Patil",MAHARASHTRA,Ravindra ratan patil,Category: B2 Sector: INFRA-2 Date of Submission: 27/01/2026,SEIAA,Under Verification,"The proposed Construction is for New Court Building including 33 Court Halls at CTS No. 3512/A2/D, in Dhule Taluka. District Dhule by Hon. Principal District Judge, District & Sessions Court, Dhule proposed through Executive Engineer Shri. Ravindra Ratan Patil. The total Built up area proposed for the project is 35,676.38 sqm on the plot area 19,785.10 sqm."
67,SIA/MH/MIN/564584/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271526/2026,"Transfer of EC of Sand Ghat at Waghala-Kirla, River Purna, Vill Waghala-Kirla, Tq. Mantha Dist. Jalna Nearest Gut no Waghala- 73 to 76,80 to 86 Kirla-32,33,35,36,37,38,16,17,154,156, Area-2.92 Ha, Qty-8254 Brass, in the name of M/s Yash Construction ,Prop. Mr. Manohar Udhavrao Kangane",MAHARASHTRA,MANOHAR UDDHAVRAO KANGANE,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EC Granted,"Transfer of EC of Sand Ghat at Waghala-Kirla, River Purna, Vill Waghala-Kirla, Tq. Mantha Dist. Jalna Nearest Gut no Waghala- 73 to 76,80 to 86 Kirla-32,33,35,36,37,38,16,17,154,156, Area-2.92 Ha, Qty-8254 Brass, in the name of M/s Yash Construction ,Prop. Mr. Manohar Udhavrao Kangane"
68,SIA/MH/MIN/567868/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/274449/2026,"Transfer of EC of Sawangi Yende Sand Ghat Tq. Deoli Dist. Wardha, Nearest Gut no 21, 22,47,23, Area-1.20 ha, Qty-2968 Brass by M/s CHOURASIA CONSTRUCTION CO.",MAHARASHTRA,CHOURASIA CoNSTRUCTION CO,Category: B2 Sector: Non-Coal Mining Date of Submission: 03/02/2026,SEIAA,Pending at MS SEIAA,"Transfer of EC of Sawangi Yende Sand Ghat Tq. Deoli Dist. Wardha, Nearest Gut no 21, 22,47,23, Area-1.20 ha, Qty-2968 Brass by M/s CHOURASIA CONSTRUCTION CO."
69,SIA/MH/MIN/566763/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273365/2026,"Transfer of the EC of ‘Hiwra Pen Sand Ghat’ located at Nearest Gut no 141,146,163 to 166, Area- 1.298 Ha., Village – Hiwra, Taluka. Risod Dist. Washim, Maharashtra from District Mining Officer, Washim to Shri. Vaibhao Ramrao Wakudkar.",MAHARASHTRA,VaibhAo ramrao wakudkar,Category: B2 Sector: Non-Coal Mining Date of Submission: 24/01/2026,SEIAA,EC Granted,"Sand Ghat Proposal of Hiwra Pen Sand Ghat Tq. Risod Dist. Washim,Nearest Gut no 141,146,163 to 166 ,Area-1.298 Ha Qty-2293 Brass"
70,SIA/MH/INFRA2/565365/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272047/2026","Proposed Commercial Building Development on Plot No. 5, Sector 5, Pushpak Nagar, Navi Mumbai by M/s. Today Royal Lifespace",MAHARASHTRA,today royal lifespace,Category: B2 Sector: INFRA-2 Date of Submission: 15/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,It is a building construction project.
